Name,Website,Description,Categories,Discord,Twitter
1Inch Network,https://1inch.io/,The mission of the 1inch Foundation is to foster growth and expansion of the 1inch Network and incentivize contributions through grants and other capital deployment vehicles.,"DAO Tooling,DeFi,Grants,Wallet",https://discord.com/invite/1inch,https://twitter.com/intent/follow?screen_name=1inch
BNB Chain,https://www.bnbchain.org/en,"BNB chain is built on top of the Ethereum blockchain and supports the execution of smart contracts and decentralized applications (dApps). The Binance Coin is used as a utility token within the Binance ecosystem, serving as a means of payment for fees on the Binance exchange, among other uses","Exchange,Infrastructure,L2,Token",https://discord.gg/QRTQvfhADQ,https://twitter.com/BNBChain
Matter Labs,https://matter-labs.io/,Creators of ZKSync - a Zero Knowledge ETH scaling solution.,"Infrastructure,ZK",N/A,https://twitter.com/the_matter_labs
MetaMask,https://metamask.io/,Crypto wallet & gateway to blockchain apps with swap and buy features.,Wallet,N/A,https://twitter.com/MetaMask
Near,https://near.org/,"The NEAR protocol is a sharded, proof-of-stake, layer-one blockchain that exists to foster ecosystem development and innovation through grant funding.",L1,https://discord.com/invite/UY9Xf2k,https://twitter.com/nearprotocol
Opolis,https://opolis.co/,A member-owned digital employment cooperative empowering solopreneurs to live their life of choice.,"DAO,Decentralized Work",https://discord.gg/p9FQHYhxcM,https://twitter.com/opolis
SvenX Ventures,https://7xvc.com/,"SevenX Ventures is a venture capital founded by crypto veterans with an average industry experience of 5 years. We insist on providing relentless support, from marketing to fundraising, from tokenomic design to resource integration, for projects and helping entrepreneurs succeed.",VC,N/A,https://twitter.com/SevenXVentures
Ceramic,https://ceramic.network/,Ceramic is a decentralized data network that brings unlimited data composability to Web3 applications.,"Infrastructure,Storage",https://chat.ceramic.network/,https://twitter.com/ceramicnetwork
Circle,https://www.circle.com/en/,Circle is a global financial technology company helping money move at internet speed. Their mission is to raise global economic prosperity through the frictionless exchange of value.,"Infrastructure,Stablecoins,payments",https://discord.com/invite/buildoncircle,https://twitter.com/circle
Covalent,https://www.covalenthq.com/,Blockchain data API Infrastructure for builders.,"Data API,Infrastructure",N/A,https://twitter.com/covalent_hq
Coinbase,https://www.coinbase.com/cloud,"Coinbase is a secure online platform for buying, selling, transferring, and storing cryptocurrency.",Exchange,N/A,https://twitter.com/coinbase
Cult DAO,https://cultdao.io/,The purpose of CULT is to empower and fund those building and contributing towards a decentralised future through the CULT DAO and token.,"DAO,Grants",N/A,https://twitter.com/wearecultdao
Cypher,https://www.cypherwallet.io/,"Multi-chain crypto wallet focused on EVM+Cosmos chains (12+ chains supported) with an in-built bridge, browser & a Non-Custodial Crypto Card","Bridge,Browser,DeFi,Wallet",https://discord.com/invite/S9tDGZ9hgT,https://twitter.com/cypherwalletio
EthStorage,https://eth-store.w3eth.io/#/,A Layer 2 solution provides programmable dynamic storage based on Ethereum's Data Availability. Grant supported by Ethereum Foundation for DA research.,"Infrastructure,Storage",https://discord.gg/xhCwaMp7ps,https://twitter.com/EthStorage
Fenbushi Capital,https://www.fenbushicapital.vc/index_en.html,"Fenbushi Capital is the first and most active blockchain-focused venture capital firm in Asia. Founded in Shanghai in 2015 by veterans across both blockchain and traditional financial industries, it has to date supported over 60 leading projects across 4 continents leveraging blockchain technology to reshape myriad industries such as finance, healthcare, supply chain, and consumer goods.",VC,N/A,https://twitter.com/fenbushi
Protocol Labs,https://protocol.ai/,"Protocol Labs is an open-source research, development, and deployment laboratory. Their projects include IPFS, Filecoin, libp2p, and many more.","Developer Tooling,Infrastructure,Research,Storage",N/A,https://twitter.com/protocollabs
Fuel,https://www.fuel.network/,"Fuel v1 began as a layer-2 (L2) scalability technology for a monolithic Ethereum. It was the first optimistic rollup on mainnet Ethereum, deployed at the end of 2020. Today, Fuel is a fast modular execution layer.","Infrastructure,Rollup",https://discord.com/invite/xfpK4Pe,https://twitter.com/fuellabs_
Game7,https://game7.io/,"A collective built to accelerate the blockchain gaming industry through grants, education, and strategic initiatives","DAO,Gaming",https://discord.gg/g7dao,https://twitter.com/G7_DAO
GOPLUS,https://gopluslabs.io/,"GoPlus is working as the ""security infrastructure"" for web3 by providing open, permissionless, user-driven Security Services. GoPlus is building on the Security data infrastructure and Security Service platform, making a safer web3 Ecosystem.","Infrastructure,Security",https://discord.gg/5cvSsaT8N5,https://twitter.com/GoplusSecurity
Halborn,https://halborn.com/,"Global remote team providing Security Advisory, Advanced Penetration Testing, Smart Contract Audits, as well as Devops and Automation services.",Security,N/A,https://twitter.com/HalbornSecurity?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Hedera,https://hedera.com/,"Hedera is an open source, leaderless proof-of-stake network that powers the next generation of the web.",L2,https://discord.com/invite/hedera,https://twitter.com/hedera
Magic,https://magic.link/,"One-click wallet for web3 without downloads, passwords, or seed phrases.",Wallet,https://discord.gg/magiclabs,https://twitter.com/magic_labs
Mantle,https://www.mantle.xyz/,"Ethereum layer-2 network with modular design, low fees & high security created by BitDAO.",L2,https://discord.com/invite/0xMantle,https://twitter.com/0xMantle
Metis,https://www.metis.io/,DAC (decentralized autonomous company) scaling ETH with an L2,"DAO,L2",https://discord.gg/RqfEJZXnxd,https://twitter.com/MetisDAO
Neon,https://neon-labs.org/,Neon enables dApp developers to use Ethereum tooling to scale and get access to Solana,"Developer Tooling,EVM",https://discord.gg/ApZRBDqYcN,https://twitter.com/neonlabsorg
Nucleo,https://www.gonucleo.xyz/,"Private, audit-friendly multisigs for on-chain orgs","ZK,beta,multisig",N/A,https://twitter.com/gonucleo
OKX,https://www.okx.com/web3,Crypto Exchange,"CeFi,Exchange",https://discord.gg/e6EyvM5QwM,https://twitter.com/okx
Polkadot,https://polkadot.network/,"Polkadot unites and secures a growing ecosystem of specialized blockchains called parachains. Apps and services on Polkadot can securely communicate across chains, forming the basis for a truly interoperable decentralized web.","L2,Parachain",https://dot.li/discord,https://twitter.com/Polkadot
Polygon,https://polygon.technology/,"Ethereum L2 scaling chain with zkEVM, Polygon Labs reseach, and Polygon Foundation.","L2,Research,ZK",https://discord.gg/0xPolygon,https://twitter.com/0xPolygon
Quantstamp,https://quantstamp.com/,L1 Blockchain Security Firm,"L1,Security",N/A,https://twitter.com/Quantstamp
Risczero,https://www.risczero.com/,The General Purpose Zero-Knowledge VM. Prove any Computation. Verify Instantly.,"Developer Tooling,ZK",https://discord.gg/risczero,https://twitter.com/risczero
Rocketpool,https://rocketpool.net/#header,Decentralized ETH Staking Pool,"ETH,Staking Pool",https://discord.gg/rocketpool,https://twitter.com/Rocket_Pool
Scroll,https://scroll.io/,Scroll is a zkEVM-based zkRollup on Ethereum that enables native compatibility for existing Ethereum applications and tools.,"Developer Tooling,ZK",https://discord.gg/scroll,https://twitter.com/Scroll_ZKP
SSV Network,https://ssv.network/,"ssv.network is the decentralized staking infrastructure running the SSV protocol that enables the distributed operation of an Ethereum validator. The SSV protocol splits a validator key into multiple KeyShares and distributes them to non-trusting nodes run by operators. The nodes execute the validator's duties under a consensus mechanism providing fault tolerance, increased security, and decentralized risk for stakers.",,,
"Developer Tooling,ETH Scaling,Infrastructure,Staking",ssv.network is a reusable and scalable ETH staking infrastructure developers can use to build new staking apps and deploy them quickly and easily.,https://discord.com/servers/ssv-network-723834989506068561,,https://twitter.com/ssv_network,
Stellar,https://stellar.org/,Stellar is a network for innovators building real world blockchain solutions that create financial access for everyone.,"DeFi,Infrastructure,L1",https://discord.com/invite/zVYdY3ktTn,https://twitter.com/stellarorg
WalletConnect,https://walletconnect.com/,"The communications protocol for web3, WalletConnect brings the ecosystem together by enabling wallets and apps to securely connect and interact.","Infrastructure,Wallet",https://discord.gg/kdTQHQ6AFQ,https://twitter.com/walletconnect/
Visit Denver,https://www.denver.org/,"VISIT DENVER is a private, nonprofit trade association that is responsible for marketing metro Denver as a convention and leisure destination. The Bureau is contracted by the City & County of Denver to act as the official marketing agency for Denver.",Travel,N/A,https://twitter.com/visitdenver
0x,https://www.0x.org/,Exchange infrastructure,"Developer Tooling,Infrastructure",https://discord.gg/d3FTX3M,https://twitter.com/0xproject
Aragon,https://aragon.org/,Open Source Infrastructure for Building DAOs,"DAO Tooling,Developer Tooling",https://discordapp.com/invite/eqQJkdp,https://twitter.com/AragonProject
Arbitrary Execution,https://www.arbitraryexecution.com/,Full service blockchain security and audit firm.,"Developer Tooling,Security",N/A,https://twitter.com/Arbitrary_Exec
Arbitrum,https://arbitrum.io/,"Arbitrum offers a suite of Ethereum scaling solutions that are secure, fast, cheap & EVM compatible.","ETH Scaling,L2",https://discord.com/invite/arbitrum,https://twitter.com/arbitrum
Axelar,https://axelar.network/,"Axelar delivers secure cross-chain communication for Web3. Their infrastructure enables dApp users to interact with any asset or application, on any chain, with one click.","Developer Tooling,Infrastructure",https://discord.com/invite/aRZ3Ra6f7D,https://twitter.com/axelarcore
Blockdaemon,https://blockdaemon.com/,"Stake, Scale, and Deploy nodes: Blockdaemon provides institutional grade blockchain infrastructure supporting 60+ cutting edge blockchain networks","Developer Tooling,Infrastructure",N/A,https://twitter.com/BlockdaemonHQ
blocknative,https://www.blocknative.com/,"MEV Relay, Ethereum Block Builder, Mempool Explorer, Transaction Preview, Web3 Onboard, Gas Prediction.","Developer Tooling,Infrastructure",https://discord.com/invite/KZaBVME,https://twitter.com/blocknative
Cartesi,https://cartesi.io/,Cartesi Rollups is a modular execution layer that elevates simple smart contracts to decentralized Linux runtime.,"Developer Tooling,Rollup",https://discord.gg/pfXMwXDDfW,https://twitter.com/cartesiproject
Certora,https://www.certora.com/,Making trusted blockchain a reality with fully automatic exact verification technology for smart contracts,Developer Tooling,https://discord.gg/Z9wQfRqZYY,https://twitter.com/certorainc
Chainlink,https://chain.link/,Web3 services platform connecting the world’s data and systems to blockchains,"Developer Tooling,Infrastructure",https://chain.link/discord,https://twitter.com/chainlink
Collab Land,https://www.collab.land/,"Community management for DAOs, NFT communities, brands, and creators of projects big and small.","Community,DAO Tooling",https://discord.com/invite/collabland,https://twitter.com/Collab_Land_
Cw Swap,https://swap.cow.fi/#/1/swap/WETH,CoW Swap is the first trading interface built on top of CoW Protocol.,,,
